"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","20729","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"24518","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","48","24575","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Up",,,"26758","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"27636","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","49","27639","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"28692","task1.py","1.1.2 for 2021-2022 @t1","0"
"p","def main():
    baseList = list(range(1, 101))
    list1 = <Fill In>
    print(list1)
    list2 = <Fill In>
    print(list2)
    list3 = <Fill In>
    print(list3)
main()",,"49","28776","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","def main():
    baseList = list(range(1, 101))
    list1 = <Fill In>
    print(list1)
    list2 = <Fill In>
    print(list2)
    list3 = <Fill In>
    print(list3)
main()","","49","28798","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"378277","task1.py","1.1.2 for 2021-2022 @t1","0"
"p","[i for i in list1 if i % 2 == 0]",,"117","378327","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","<Fill In>","108","378335","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","[i for i in list1 if i % 2 == 0]","","108","378336","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"381960","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","1","124","381968","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"382333","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","123","382336","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"382538","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","s","122","382541","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"382928","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","121","382939","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"383768","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","120","383771","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","b","","120","384656","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","b",,"121","384660","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","121","384872","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"122","384876","task1.py","1.1.2 for 2021-2022 @t1","0"
