"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","","s","31","109064","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","31","109734","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"32","109735","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","32","109755","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","32","110186","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","32","110187","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"33","110187","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","33","110314","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"34","110315","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","34","110396","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"35","110396","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"173242","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"173243","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"195474","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"195475","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"204906","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","0","211382","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","1","211384","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"1","211389","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","1","212345","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","2","212348","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"2","212348","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","h","","2","213318","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","h",,"3","213319","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","213336","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"213920","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","","h ","2","213923","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","H","","2","215408","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","H",,"3","215410","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","215437","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","3","215824","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","3","215825","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"4","215825","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","4","215925","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"5","215925","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","5","216081","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"6","216081","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","6","216272","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"7","216273","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","7","216493","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"8","216493","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"217171","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","7","217173","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",",","","7","217828","Main.py","1.1.2 for 2021-2022 @t1","0"
"k",",",,"8","217829","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","8","217931","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"9","217932","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","M","","9","218289","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","M",,"10","218289","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","10","218306","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"219431","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," M","8","219435","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","9","220025","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"10","220026","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","10","220045","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","10","220260","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","y","","10","220261","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","y",,"11","220261","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","11","220406","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"12","220407","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","12","220638","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"13","220639","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","13","220657","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","13","220742","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","13","220743","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"14","220743","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","14","220840","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"15","220841","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","15","220985","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"16","220986","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","16","221070","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"17","221071","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","17","221184","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"18","221185","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","18","221203","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","18","221264","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","18","221265","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"19","221265","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","19","221373","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"20","221374","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","P","","20","221798","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","P",,"21","221799","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","21","221817","Main.py","1.1.2 for 2021-2022 @t1","0"
