"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","225056","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"229405","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","46","229420","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"229758","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","45","229770","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","3","","45","230455","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","3",,"46","230461","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","46","230726","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"236026","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","46","236062","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","46","236063","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Move Caret",,,"275390","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Creating file /Users/user/Documents/CS1400/Davidson-Paige-Unit3/plan1.txt",,,"308394","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"310396","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"329931","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","47","329937","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"332344","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","47","332348","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"337708","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Move Caret",,,"754756","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","P","","0","756527","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"k","P",,"1","756535","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","756599","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","756944","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","r","","1","756945","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"k","r",,"2","756945","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","i","","2","757111","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"k","i",,"3","757112","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","n","","3","757235","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"k","n",,"4","757235","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","t","","4","757315","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"k","t",,"5","757316","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"759211","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","","t","4","759216","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"759402","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","","n","3","759405","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"759562","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","","i","2","759566","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"759711","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","","r","1","759713","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"759898","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","","P","0","759902","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"857721","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","r","","0","897313","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","r",,"1","897314","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e"," ","","1","897342","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e",""," ","1","897406","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","e","","1","897407","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","e",,"2","897407","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","q","","2","897993","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","q",,"3","897994","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","u","","3","898132","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","u",,"4","898133","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","i","","4","898293","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","i",,"5","898295","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","r","","5","898434","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","r",,"6","898435","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","e","","6","898512","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","e",,"7","898514","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","m","","7","898699","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","m",,"8","898700","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","e","","8","898797","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","e",,"9","898798","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","n","","9","898912","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","n",,"10","898913","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","t","","10","899037","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","t",,"11","899038","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","s","","11","899296","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","s",,"12","899296","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e"," ","","12","899429","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k"," ",,"13","899430","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"a","Backspace",,,"901521","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","","r","0","901525","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","R","","0","901966","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","R",,"1","901966","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e"," ","","1","901981","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e",""," ","1","903584","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","s","","13","903584","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","s",,"14","903585","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e"," ","","14","903595","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e",""," ","14","903684","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","p","","14","903685","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","p",,"15","903685","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","e","","15","903819","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","e",,"16","903820","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","c","","16","904042","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","c",,"17","904043","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"e","i","","17","904169","plan1.txt","1.1.2 for 2021-2022 @t1","1"
"k","i",,"18","904170","plan1.txt","1.1.2 for 2021-2022 @t1","1"
