"k","f",,"51","80161468","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","51","80161536","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"52","80161853","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","52","80162292","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"53","80162293","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","53","80162313","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","53","80162430","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","53","80162431","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"54","80162440","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","54","80162513","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"55","80162514","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","55","80162612","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"56","80162613","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"80164554","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","57","80164564","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","    ","","57","80164571","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",":","","56","80168241","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",":",,"57","80168242","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","56","80172298","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"57","80172299","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","h","","57","80174697","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","h",,"58","80174698","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","58","80174723","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80175636","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","h ","57","80175641","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","    ","59","80181414","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80198277","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","56","80198281","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","56","80198989","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","57","80198994","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"57","80198995","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"58","80199182","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80202097","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","    ","","60","80202100","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","f","","64","80203108","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","f",,"65","80203109","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","65","80203137","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","65","80203176","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","65","80203177","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"66","80203177","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","66","80203224","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","66","80203398","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","66","80203399","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"67","80203408","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","67","80203962","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"68","80203962","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","I","","68","80206098","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","I",,"69","80206099","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","69","80206119","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","69","80206335","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","69","80206342","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"70","80206343","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","70","80206565","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"71","80206566","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","71","80206581","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","71","80206666","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","71","80206667","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"72","80206667","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","72","80206681","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","72","80206848","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","72","80206858","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"73","80206858","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","73","80207384","task1.py","1.1.2 for 2021-2022 @t1","0"
